PM2.5 (ug/m3),NO (mg/m3),NO2 (ug/m3),NOx (ppb),Benzene (ug/m3),T,TM,Tm,SLP,H,VV
93.93,7.73,26.06,20.04,1.16,19.8,27.5,11,1015.6,45,2.9
82.96,7.2,26.38,19.79,0.82,20,25.5,12.4,1015.7,47,3.1
96.98,9.11,33.38,25.03,1.78,21.4,28,13.5,1013.6,47,3.1
93.49,9.92,30.71,24.27,1.67,20.4,28.1,12.4,1012.5,55,2.6
131.18,28.35,38.54,42.98,3.42,21.2,29,11,1014.2,52,3.2
135.01,27.81,46.02,46.74,4.83,24.2,32,12.5,1012.5,46,2.6
109.78,10.49,37.2,28.18,3.71,24.7,32.5,18,1012.1,49,2.6
75.99,11.12,25.81,24.63,1.32,22.8,30.5,16.5,1011.1,59,1.9
90.47,10.48,21.92,31.88,2.61,21.3,28.5,12.5,1010.6,41,3.1
83.99,11.27,38.75,50.02,1.69,20.2,28,11.1,1010.5,43,2.9
99.06,11.1,25.47,33.87,2.18,21.5,28,11.3,1009.9,40,2.9
508.53,8.81,22.63,19.08,1.68,23.4,30,12,1008.3,41,2.6
261.51,7.76,21.85,17.81,1.64,22.8,30.7,17.6,1008,54,2.9
120.15,16.3,28.23,26.86,1.47,28.6,35,18.2,1009.6,45,2.9
381.85,9.58,34.04,25.84,2.52,28.9,37,18.4,1009.1,49,2.7
348.89,9.79,26.17,21.65,2.69,29,37.4,20.9,1010.5,41,2.4
174.42,9.78,27.56,22.37,3.67,27.8,35,17.7,1010.4,41,3.4
317.23,8.82,26.13,20.95,2.95,29.1,35,20.8,1009.8,38,3.2
320.61,9.66,29.77,23.56,3.43,30.6,37,21.8,1009.5,41,3.1
90.78,11.35,31.5,26.94,3,30.5,38,20.7,1006.2,21,3.4
126.12,29.17,39.32,44.25,3.01,30.6,39,20.5,1005.6,27,2.9
126.58,59.43,50.58,74.44,3.02,31.6,40,19.9,1006.3,27,2.9
145.9,30.16,59.38,55.71,3,32.4,40.5,20.7,1004.5,33,2.3
116.46,15.19,38.59,32.67,3,33,40.6,22,1002.1,29,3.2
114.19,9.11,42.63,29.97,2.98,32.8,40.5,21.4,1003.6,35,2.7
194.25,7.4,30.85,22.32,1.5,34.9,43.2,28.9,999.7,45,2.7
121.84,8.34,22.9,18.86,1.5,33.5,40.2,28.5,1001.9,49,2.3
125,15.56,27.9,27.29,1.5,33.9,40,26.8,1001.9,31,3.2
115.25,7.29,26.36,19.85,1.51,32.6,39.6,25.6,1004,35,3.4
97.24,7.65,24.19,18.98,1.5,32.5,38,23.8,1003.8,33,3.2
92.4,8.51,26.69,21.01,1.5,32.1,38.3,23,1005.1,35,3.2
105.41,10.58,24.18,21.33,1.5,32.6,38.2,22.5,1006.3,33,2.7
113.77,10.14,30.39,24.27,1.5,32.2,38.5,24,1004.8,37,2.9
98.74,10.97,27.58,23.45,1.5,32.1,39,24,1005.4,40,3.1
94.17,9.32,23.76,20.11,1.5,31.9,39.2,24.3,1006,41,3.2
151.05,48.13,39.34,61.31,1.51,32.2,38.1,23.1,1007.2,35,3.7
158.76,8.49,34.92,30.51,1.47,32.3,39.6,22,1006.8,37,3.2
129.15,7.1,20.39,22.15,1.75,32.6,40,24.4,1006.6,35,2.3
127.3,6.56,25.39,24.36,3.7,32.9,40.1,23.2,1006.8,33,3.4
99.84,18.27,30.1,36.2,1.07,33.8,40,23.5,1005.3,29,2.6
83.68,7.93,19.43,22.3,2.5,36.6,44.1,27.6,1002.7,30,2.6
62.22,11.73,13.99,21.97,2.5,35.6,42.8,28,1001.5,36,3.2
70.54,7.64,17.05,20.59,2.48,33.9,42.8,27.7,1005.3,46,3.4
148.17,6.51,17.52,20.16,2.5,35,41,26.6,1006,42,3.4
98.99,12.49,26.49,29.68,2.49,35.8,42,28.4,1004.8,39,2.1
85.8,7.37,20.69,22.53,2.49,36,41.8,27.5,1002,35,2.7
78.28,8.6,19.6,22.93,2.5,37.2,43,27.8,999.8,28,3.1
103.79,8.91,18.62,22.67,2.51,37.9,44,28.1,998.3,24,3.2
69.28,5.76,13.69,17.55,2.49,36.3,44.4,29,999.3,31,2.6
67.87,5.64,18.45,19.96,2.49,32.7,41.4,28.4,1001.1,42,3.1
74.82,8.56,24.32,22.55,2.49,34.7,40,27.1,1001.7,39,3.2
128.2,10.53,30,24.35,2.52,32.3,40.2,27.4,1001.4,45,3.2
211.63,22.17,39.6,38.8,2.5,34,41.4,28.4,1000,38,3.4
132.32,11.4,29.8,24.96,2.48,31.2,39,24,1001.5,45,2.1
108.18,27.31,40.59,43.44,2.5,27.1,39.6,21.8,1003.7,64,2.7
119.95,11.75,40.18,31.69,2.46,33.4,38,23.3,1003.2,40,3.2
106.1,9.9,26.29,21.91,2.96,35.4,41,26.6,1001.6,40,3.1
121.88,9.43,36.87,27.16,4.03,36.4,41.6,28.5,999.1,36,3.4
126.12,9.18,25.66,21,2.99,37.8,44,29,997.3,33,3.1
82.3,9.3,21.67,18.96,2.98,35.3,43.9,29.3,998,46,3.9
68.83,9.24,24.07,20.18,3.01,31.7,40.5,22.5,998.6,57,3.4
68.37,9.99,27.19,22.34,3,32.4,37,22,997.3,52,3.7
93.67,12.58,32.96,27.57,3,29.4,37,26,1000.2,69,2.9
129.8,12.82,29.79,25.84,3.01,32.9,37,24.9,1000.7,52,2.4
144.28,18.65,35.05,30.33,3.01,34.9,40,26,999.4,38,2.6
169.14,20.39,48.73,40.28,3,37.3,42.5,28.7,996.6,32,3.4
152.35,9.94,24.4,20.66,2.99,39.8,45,30.4,996.2,24,3.5
83.65,7.83,20.76,17.21,2.99,37.9,44.6,30,1000.5,38,3.1
63.31,8.28,31.78,23.33,3.01,31.7,43,26,1003.5,51,3.2
71.72,14.42,29.52,25.14,2.99,30.3,37.2,25,1002.1,62,3.5
90.47,8.35,29.54,21.74,3.01,32.9,37,26.4,1000.6,53,2.7
69.32,9.61,30.68,23.93,2.99,33.9,39,26,1000,47,3.4
78.57,9.38,29.5,22.99,3,32.7,39.5,25.5,999.2,45,4
167.4,33.29,40.23,36.33,3,33.8,39.5,25.9,996.5,43,3.9
116.87,23.85,42.69,33.79,2.96,36.6,42,28.1,997.5,33,3.5
153.29,12.7,31.74,25.51,12.75,36.1,42,29,1000.4,37,2.9
103.06,17.55,54.17,31.49,0.84,34.7,41.6,28.6,998.9,39,3.1
54.07,37.82,28.18,45.79,11.1,28.3,35,22.5,1000.9,72,2.9
55.58,21.23,22.41,34.48,3.97,29,35.2,24.5,1000.5,69,3.1
102.54,85.72,61.93,109.95,7,32,36,26,997.7,62,3.4
45.58,35.09,39.18,46.31,3.52,30.2,37,24,998,72,3.2
199.62,24.16,46.74,29.18,2.9,27.6,37.4,23.2,998.3,79,2.6
60.28,45.23,40.09,34.63,1.87,27.7,32.2,23.7,999,85,2.4
242.63,57.24,63.12,50.17,1.89,29.4,33,25.2,999.9,74,2.9
138.76,36.11,32.59,26.39,2.12,32.4,36,26.6,999.3,62,3.7
162.06,5.91,2.35,5.96,2.57,34.1,38,28,997.1,60,3.2
126.82,6.72,2.4,6.77,2.87,35.7,39,30,997.7,58,3.1
53.7,8.49,6.11,10.04,3.53,35.2,39.4,30.4,998.9,62,3.4
41.97,10.84,10.39,14.37,3.53,35.6,39,30.5,998.5,59,3.4
47.94,11.48,10.87,15.33,2.72,28.6,39.4,25.6,1000.9,83,2.3
52.73,22.6,22.36,25.96,1.74,28.5,35,24.2,998.8,87,2.1
45.18,33.36,30.86,36.61,2.06,27.9,31.4,26.2,996.5,95,1.9
51.32,39.86,35.12,41.79,1.23,30.3,34.5,25.4,995.6,84,2.4
57.46,38.71,33.18,41.09,2.47,28.1,35.1,26,996.9,91,1.9
95.38,45.4,38.79,47.11,1.81,32,37,26.7,996.5,75,2.3
102.09,19.21,23.46,26.46,6.06,33.2,36,28.3,995.4,67,3.2
101.21,12.5,17.14,18.33,0.53,32.9,36.5,29.2,997.5,66,3.5
69.42,12.26,20.55,19.81,0.48,31.3,35.8,25.2,1000.4,74,2.7
91.88,14.77,25.5,23.82,0.71,31.9,36.5,28.2,999.1,72,2.4
84.46,14.56,27.64,24.88,0.58,34.4,37.6,29.6,998.6,58,2.9
49.72,18.17,56.71,22.89,1.13,30.2,38,26,999.8,75,2.7
52.3,20.11,56.71,23,1.42,29.7,38.5,26,1001.4,78,3.1
55.18,20.19,56.96,23.04,1.03,31.1,35,27,999.4,69,3.2
54.12,20.17,56.58,22.97,1.41,33.2,36.5,28.4,999.6,64,3.7
64.69,40.64,57.02,33.13,1.59,31.6,36.4,28.4,1000.2,76,3.2
58.73,36.71,71.54,56.32,1.71,32.4,36.4,28.5,999.1,72,2.9
51.49,45.97,58.72,41.55,1.64,29.6,36.2,27.5,999.1,85,2.4
48.18,22.74,35.43,33.8,1.71,32.8,37,27.4,999.3,71,2.7
41.98,50.17,65.12,58.04,1.46,34.1,38,28,997.6,64,2.7
47.15,23.55,30.81,27.85,1.67,29.2,38.4,25,998,84,2.3
46.03,21.09,18.35,24.47,0.19,32.5,36,28,997.5,70,3.1
49.34,18.62,12.87,19.16,0,30.7,36,27.2,998.3,77,3.2
45.76,48.11,36.36,31.75,0.09,30.1,35,26,997.2,80,2.4
44.39,21.89,21.27,23.54,2.83,30.1,34.6,26.5,996.3,79,2.7
46.09,14.24,60.21,41.07,0.52,29.6,33.4,26.6,997.3,84,2.4
42.7,22.8,55.6,1.93,0.02,31.6,35,26.4,999.1,74,3.2
44.38,25.18,54.12,18.2,0.43,32.2,35,28.6,1000.7,69,3.7
46.4,15.89,123.2,76.58,0.83,32.2,36,28.2,1001.2,70,3.1
43.85,17.5,71.39,50.02,0.88,30.9,35.1,28,1001.1,70,3.1
38.47,18.88,11,17.78,0.62,28.3,34.1,27,1001.1,89,2.1
54.23,15.22,15.11,16.18,0.7,28.8,32,26.8,1001.6,84,2.3
62.72,14.22,19.26,20.35,0.67,29.8,32,27,1000.2,78,2.7
70.92,16.86,23.22,20.62,0.58,31.2,35,27.3,997.2,69,2.9
90.98,18.86,25.12,22.14,0.96,30.8,35,27,996.8,71,2.7
96.64,14.84,21.76,20.66,1.37,31.6,35,27.7,999.3,66,2.7
79.38,13.11,18.22,20.22,1.58,32.6,36,28.8,999.7,66,2.7
53.15,13.05,18.51,20.21,1.96,29.8,36.1,26,1001.8,84,2.3
60.07,13.17,18.18,20.2,3.8,31.7,36,26.5,1001.5,77,2.7
63.88,12.96,18.48,20.19,1.98,29.2,35.6,27,999.3,87,1.6
57.15,13.45,17.89,11.83,0.58,31.3,34,27.6,997.9,74,2.7
72.49,13.29,18.04,20.21,1.15,32.5,35.2,28.4,998.1,66,3.2
70.22,14.03,18.46,20.55,0.38,31.3,35,27.3,1001.2,68,2.9
74.07,15.06,20.2,17.97,0.4,31.6,36,27.4,1003.3,63,3.7
84.83,11.12,26.28,21.38,1.75,32.6,37,28,999,60,3.1
48.08,12.52,22.64,24.01,0.37,33.5,37,29.2,998.5,59,3.2
58.44,11.13,23.45,20.02,2.53,32.1,36,28.3,1001.3,72,3.2
59.51,12.53,24.02,22.68,1.64,31.5,36.1,28.5,1001.8,76,2.7
61.53,10.93,23.3,20.75,1.35,30.4,35,25,1001.1,78,2.3
59.7,9.86,20.8,18.59,1.29,31.1,35,27.2,999.9,76,2.4
55.22,12.24,20.51,20.49,1.18,29.1,35.3,25.2,1000.4,84,2.4
52.91,10.58,20.1,18.91,0.79,31,36,24.8,1000,71,3.2
56.96,11.38,20.35,19.58,0.92,30.6,35.7,26.6,1001.2,73,2.7
64.37,11.4,21.31,19.63,0.61,30.9,35.2,27,1001,75,2.6
54.2,11.27,20.95,19.85,0.64,31.3,35.4,27.5,1002.8,74,3.2
47.53,15.2,23.94,24.57,0.66,28.2,35.5,25.6,1003.7,89,1.6
43.04,11.7,21.45,20.57,0.45,28.7,33,25.5,1002.6,81,2.3
45.42,12.54,20.25,20.37,0.47,28.2,32.6,26,1002.8,78,2.7
49.7,16.31,21.17,24.09,1.13,30.7,35,25.2,1003.9,70,3.4
60.99,13.17,20.92,20.35,0.54,31.5,35,27,1004.7,70,3.2
52.14,10.48,16.96,17.29,0.7,31.6,36,26.2,1004.8,62,3.5
64.65,12.15,17.14,18.7,2.13,28.9,36.1,24.2,1005.5,76,2.9
67.57,10.02,17.37,17.06,2.01,31.2,35,26.5,1005.5,67,2.7
74.26,13.6,17.29,19.86,3.91,31.6,35.1,26.8,1003.9,65,3.1
82.13,11.08,17.52,18.02,1.59,32.4,37,27,1005.4,62,3.2
67.86,10.54,16.35,16.88,1.17,31.9,36.9,27,1006.3,62,3.1
91.99,10.27,16.76,16.91,5.42,31.6,36.2,25.8,1006.7,61,3.2
76.35,9.96,16.15,16.36,1.59,32.2,36.2,27,1006.2,63,2.9
71.93,9.89,15.29,15.85,1.29,32.1,36.6,27.5,1005.6,67,2.4
55.71,12.39,17.41,19.33,1.28,32.7,36.1,27,1005.1,53,2.9
55.17,23.85,35.2,37.54,1.23,29.5,36.4,26.5,1005,71,2.4
61.56,23.75,57.92,51.15,1.34,30.7,35,26.6,1003.6,62,2.9
73.62,16.14,29.48,28.42,2.43,31.2,36,25.2,1003.7,60,3.4
74.83,25.27,42.36,42.47,1.86,31.6,36,25.6,1002.8,59,2.6
66.17,14.96,40.06,33.05,1.76,31.6,37,25,1002.9,57,2.7
84.37,14.21,17.21,25.18,0.8,30.7,36.9,24.8,1002.7,69,2.9
74.73,14.74,18.46,21.49,1.01,26.2,35.4,24,1003.7,87,2.3
75.33,14.96,24.54,24.86,0.84,24.7,27.5,23.5,1005.5,95,1.9
62.85,44.86,35.65,55.19,2.21,30.2,35,23.8,1004.5,67,3.1
109.23,21.99,18.64,25.47,3.15,30.4,35.1,25,1005.7,66,3.4
132.08,121.4,70.86,116.11,3.13,31.2,37,24.5,1004.8,58,2.9
113.13,19.46,48.12,26.39,2.03,30.7,36.8,24.6,1005.3,59,3.1
107.85,15.65,38.9,28.97,2.19,30.2,36.1,23.2,1007.3,55,3.4
105.78,19.68,36.4,32.78,3.25,28.8,36,22,1005.9,55,3.4
113.35,11.87,31.5,22.11,1.8,29.9,36.4,21.9,1006,47,3.9
104.37,16.32,33.47,26.66,3.03,30.5,36.4,21.3,1007.9,53,3.7
107.49,8.18,33.58,20.2,2.06,29.8,36.6,22.6,1008.7,55,3.1
139.06,6.92,30.43,18.48,3.43,30,36,23.2,1008.6,54,2.6
115.98,9.14,34.98,25.53,1.86,30.1,36,22.5,1008.4,47,3.4
128.39,11.23,34.3,27.03,2.74,29.6,36,21.6,1007.6,54,2.9
158.18,26.38,40.41,42.37,3.96,28.8,35.8,22.4,1006.9,63,2.6
120.72,33.06,46.52,50.93,4.7,29.6,36,22.5,1007.6,58,2.7
142.47,30.25,46.48,48.65,6.48,29.3,36.4,22,1006.3,59,2.6
156.72,21.35,43.22,39.8,5.77,29.6,35,22.2,1006.8,58,2.7
164.12,15.37,42.5,34.66,4.67,29.1,35.3,22,1006,60,2.7
150.57,41.57,39.71,54.13,5.27,29,35,21.6,1004.5,57,2.6
147.9,25.34,37.62,40.07,5.97,28.8,36.4,21.5,1004.4,56,2.6
174.74,39.44,41.76,53.52,7.04,28.2,36.5,19.2,1005.1,54,2.7
151.23,9.83,41.77,29.85,2.94,27.2,36.5,19,1006,55,2.3
187.3,37.99,42.34,52.66,6.87,26.6,35,18.4,1007.2,56,2.3
192.73,33.21,41.71,48.51,7.58,27.4,34.5,18.7,1009.1,53,2.4
526.76,34.56,45.25,53.27,8.52,28.5,36,19.4,1008.8,58,2.4
281.45,22.88,41.85,40.25,5.99,27.8,36.3,20.5,1007.5,62,1.3
145.66,15.44,41.96,34.44,3.24,25.9,35.3,18.4,1005.6,61,1.6
220.1,29.54,47.38,48.57,6.11,27.7,36,18,1005.9,55,2.3
164.05,29.94,42.4,46.23,5.74,24.3,35.4,17.8,1010.9,61,1.9
74.39,40.84,48.66,58.27,6.94,23.8,33,17,1013.7,63,1.6
159.95,12.48,48.19,35.32,3.05,23.8,33.1,16.1,1014,67,1.9
188.44,23.61,52.15,46.34,7.89,23.8,33.2,17.3,1012.8,69,1.8
183.9,15.88,50.28,39.17,6.05,23.3,32.8,16.6,1013,69,1.8
138.77,12.85,47.64,35.36,4.14,23.5,31.4,17.6,1014,72,1.6
160.88,23.6,46.13,43.16,7.04,23.3,32,19.4,1012.9,79,1.3
170.53,14.71,42.09,33.91,5.41,22.7,30.3,17.5,1013.5,78,1.1
202.51,52.66,44.5,65.54,12.3,22.7,30.1,16.7,1015.7,76,1.1
191.72,33.32,44.75,50.21,5.91,23.2,30.3,16,1015.4,72,1.4
422.17,24.61,48.22,45.07,8.01,22.1,31,16.6,1014.6,71,1.4
458.71,26.5,56.36,50.8,7.61,21.1,30,16,1014.4,73,0.6
473.07,33.41,60.17,58.29,15.31,19.7,30.2,14,1014,82,0.3
404.87,35.11,62.53,61,15.53,20.1,30.4,13.8,1013.2,71,0.5
294.37,56.42,56.03,74.29,12.07,19.9,30.5,13,1014.2,72,0.8
378.89,34.35,60.11,58.96,8.43,19.1,28.3,13,1012.3,78,0.5
243.99,17.11,59.18,44.84,5.92,19.3,28.5,12.4,1010.9,74,0.6
198.82,15.56,58.4,43.18,3.09,20.1,28.5,14.6,1011.2,73,0.8
167.57,18.19,47.92,39.31,3.33,17.6,27.7,13.4,1014.2,78,1.3
168.91,15.28,46.75,36.84,2.45,19.8,25.6,13.9,1014.4,69,1.8
165.21,12.94,44.21,33.62,1.83,20.4,26.1,15.2,1014.9,72,1.3
186.84,17.61,50.24,40.53,2.65,18.1,24.3,13.5,1016.5,60,1.8
170.84,20.55,51.32,43.45,2.44,15.9,24.5,9.4,1017.3,58,1.4
181.6,24.54,54.34,48.23,3.35,16,24.4,10.2,1015.1,59,1.8
199.68,24.15,55.67,48.63,3.5,16.3,24.7,9.6,1014.1,53,2.1
196.68,39.93,56.63,61.75,3.61,15.9,25.5,9.4,1014,60,2.1
188.84,23.44,59.93,50.29,3.08,17.1,26.2,7.6,1015.3,53,2.6
222.41,67.71,65.64,88.85,5.81,16.9,26.5,8.6,1016,57,1.9
237.7,46.9,62.72,70.61,4.49,16.9,27.5,8.6,1016.7,63,1.6
165.67,41,74.17,63.93,4.14,16.3,27.5,9,1013.9,63,1.9
181.63,165.85,116.06,140.11,12.11,15.2,28.4,8.6,1014,69,1.9
232.93,65.5,56.16,82.26,18.81,17.3,29.2,9,1015.5,70,1.9
217.98,56,45.99,69.27,7.57,16.7,29.2,9.6,1015.7,66,1.8
190.6,55.63,43.28,67.41,6.01,15.7,27.1,8.2,1015.7,66,1.6
297.26,62.43,50.09,76.59,11.05,15.1,26.4,8,1016.6,72,1.3
268.48,46.67,48.04,62.85,7.21,16.1,23.9,8.3,1014.9,70,1.4
154.67,17.12,35.12,32.43,3.14,18.6,23.5,13.7,1014.7,68,1
125.71,15.07,36.47,30.89,2.86,18.1,24,13.3,1014.4,56,1.9
148.34,24.13,39.14,40.18,3.23,17.4,25,12,1015.7,47,1.9
204.69,59.58,45.45,71.91,7.27,16.6,25.2,9.4,1015.4,52,1.9
221.82,80.21,52.65,92.21,3.01,16.1,26.6,0.7,1015.3,60,1.9
101.48,17.15,33.64,31.61,2.04,15.7,27.2,7.4,1015,69,1.4
130.45,13.61,29.63,16.31,2.18,16.6,27.2,8.2,1013.8,77,1.6
116.73,13.07,28.25,21.75,2.01,17.3,24.2,13.8,1015.7,86,1.3
133.07,10.63,26.88,9.73,2.06,15.7,21.7,12,1018.2,85,1
125.14,11.78,28.02,5.24,2.39,13.6,21.3,9.6,1020.1,83,0.8
109.69,11.02,30.51,18.45,2.22,12.7,19.5,8,1021,78,1
137.85,11.61,32.06,20.71,2.41,13.3,20.5,7.6,1021.5,72,1.4
164.89,15.73,36.64,32.06,3.46,14.7,22.6,7.8,1021.1,62,1.9
217.61,26.4,35,39.72,5.25,15.9,24.6,9.8,1019.7,62,1.9
276.79,17.31,33.04,28.07,5.69,15.2,25.6,9.6,1019.9,70,1.4
187.95,16.52,28.04,12.58,4.29,16.4,23.7,9.6,1020.6,82,0.5
156.83,11.38,23.83,21.78,3.19,17.4,25,12,1020.8,76,0.8
161.19,19.5,25.92,29.39,4.23,17.9,25.2,11,1018.2,61,1.4
294.52,25.84,26.7,34.88,8.52,16.1,25.3,10.6,1015,65,3.1
220.71,19.3,26.62,29.61,5.65,15.6,25.2,6.3,1015.9,67,1.3
181.65,39.95,35.38,50.71,6.6,13.5,25.1,7,1017.8,79,1
300.56,58.32,37.46,66.59,8.48,14.4,23.2,7.1,1017.7,74,1.3
275.7,43.71,39.22,55.83,6.46,15.1,25,7.6,1017.1,71,1.3
288.93,35.8,24.78,41.33,9.14,15.1,25.4,7,1016.7,70,1.4
280.5,4.95,14.55,9.36,9.31,15.3,25.3,6.8,1017.4,67,1.1
287.99,4.43,26.61,1.97,9.09,14.7,25.3,7.2,1017.3,74,1
223.23,17.38,48.9,0,3.92,12.2,23.9,5.7,1014.5,88,0.3
194.59,15.44,51.96,0,5.05,11.8,20.1,8.4,1015.3,89,0.3
236.4,15.33,56.88,0,4.58,11.3,18.2,6.7,1015.6,85,0.6
239.29,26.8,49.93,0,6.05,12.2,20.2,5,1015.9,81,0.6
217.04,21.2,47.22,0,4.99,11.6,17.6,7.6,1015,82,0.6
195.89,17.92,50.55,0,3.42,11.4,20.8,4.2,1014.3,76,0.6
234.78,67.58,65.21,0,5.62,13.2,20.8,6.4,1015.2,69,1.4
211.82,38.23,66.03,0,3.94,12.1,20.7,5,1017.6,72,1.4
189.65,19.32,64.8,0,3.02,12.2,21.7,4.2,1019.1,75,1.4
186.2,35.34,64.11,0,3.17,14.8,23,6.8,1018.4,67,1.4
221.07,113.36,66.12,0,5.54,14.4,23.4,8,1016.6,68,1.4
210.46,60.59,64.31,0,4.65,14.6,22.7,8,1015.8,70,1.6
241.91,84.86,62.71,0,5.53,13.6,23.7,5.5,1016.1,68,1.4
157.42,16.83,55.8,0,2.25,14,23.7,5.7,1016.2,69,2.3
235.44,89.77,65.82,0,7.51,14.7,25,6.4,1015.6,70,1.4
240.93,25.37,41.17,42.16,5.1,16.1,24.5,9.1,1013.6,59,1.9
298.24,31.94,36.55,45,7.03,13.6,25.5,5.6,1015.3,80,0.8
254,16.94,30.95,30.02,4.47,16.1,27.2,7,1015.2,76,1
199.24,25.5,30.26,36.49,4.67,15.8,24.2,9.5,1016,79,1
297.54,52.78,36.78,61.79,9.62,14.2,24.9,8,1014.9,75,0.6
188.96,13.31,35.49,29.53,3.54,13.9,25.2,5,1014.7,70,1.9
149.09,12,20.71,20.62,3.25,15.5,25.8,5.9,1012.9,74,1.6
120.27,11.7,19.54,19.74,2.94,12.7,25.2,9.4,1011.1,91,0.8
119.21,11.46,17.96,18.73,3.88,13,18,7.4,1013.9,89,0.6
152.74,11.6,21.76,20.86,2.76,12.5,18.9,8.8,1013.4,90,0.6
167.43,24.15,26.24,32.88,0.9,12.1,18.4,7,1014.1,89,0.5
166.63,5.45,20.52,15.28,0.87,13,20.2,8,1014.4,79,0.6
176.96,49.97,56.73,70.16,2.06,13.5,21.7,6.4,1015,73,0.8
133.03,15.97,63.56,46.61,1.3,14.3,23.4,7,1016.2,73,1.3
139.13,35.67,78.99,70.55,1.3,16.9,26.4,9.8,1015,63,1.6
151.06,57.26,68.2,82.08,1.57,17.2,26.9,9.9,1014.3,69,1.4
140.26,20.27,53.25,44.53,2,18.7,27.2,11,1013.9,69,1.4
145.39,17.45,52.4,41.83,2,17.7,27.8,10.5,1012.7,69,1.6
165.85,37.5,55.91,59.74,1.99,16,26.5,9.3,1015.4,57,1.4
167.81,34.58,57.8,58.41,1.82,14.4,24.6,9,1015.7,61,1.9
125.51,19.46,42.88,38.39,1.77,15.1,23.7,6.3,1018.4,55,1.4
203.25,34.17,38.97,48.07,2,16,22,11.4,1017.5,54,1.8
206.49,47.18,36.57,57.19,1.75,15,23.6,8.5,1014.6,55,1.4
239.63,49.21,43.1,62.29,6.15,13.9,24.1,5.5,1013.8,61,1.6
181.49,29.96,40.16,45.33,6.58,14.6,24,6.1,1014.4,59,1.3
84.91,17.71,28.56,29.37,1.4,17.4,25.6,8.5,1015.1,59,1.9
92.01,12.25,24.75,22.96,0.96,16.4,25.4,13,1018.9,78,1.9
94.28,11.13,24.37,21.87,1.35,16.4,23.4,9,1022.5,75,1.6
116.19,13.93,28.08,26.08,1.81,16.4,23.5,10.2,1021.6,63,1.8
130.93,12.75,29.39,25.83,1.83,17.5,23.4,11.6,1019.6,66,2.4
141.46,14.13,27.45,25.9,1.86,17.7,24.8,11.2,1017.3,73,1.4
165.86,31.14,28.07,39.82,3.59,18.4,25.4,12.6,1012.5,67,1.4
174.05,29.48,28.5,38.75,2.7,16.9,26.4,12.2,1012.4,69,1.9
216.81,53.88,36,62.25,6.29,18.1,26.6,10,1013.9,60,1.6
200.05,27.79,32.79,39.67,2.8,19,28.2,10.1,1012.9,62,2.1
163.6,31.24,25.69,38.66,4.18,21.5,31.2,12.5,1010.5,59,1.8
149.45,16.5,28.1,28.14,3.21,22,31.7,14,1009.7,63,1.9
119.54,13.66,27.71,25.67,2.27,22.8,32,15.5,1009.6,64,1.9
65.42,10.26,18.27,17.94,0.92,23.9,31.1,17,1012.1,68,1.8
73.55,10.74,22.88,20.76,1.22,22.5,31.6,17,1015.4,65,1.9
131.51,24.38,35.09,38.17,3.39,21.1,29.4,14.5,1012.8,64,2.6
139.11,16.97,33.67,31.49,2.97,22.3,29.8,15.4,1012.6,65,1.9
126.29,19.81,33.91,33.88,4.02,22.9,30.2,15.4,1012.5,68,1.6
98.71,15.74,31.34,29.26,2.26,21.7,30.7,14.9,1010.8,62,1.6
82.66,12.93,30.61,26.63,1.76,22.9,31,15.5,1009,58,2.3
77.22,13.25,31.6,27.41,2.18,24.1,32.3,16.6,1006.9,53,2.1
73.48,11.97,32.5,26.86,0.88,22.6,33.1,17.3,1009.3,54,1.9
83.57,11.47,31.48,25.91,2.04,22.2,31.7,14.5,1013.1,52,2.4
116.68,36.37,38.94,49.8,3.69,21,28.8,14.8,1013.4,56,1.8
129.41,27.89,43.31,45.35,7.52,21.8,29.4,14.7,1012.3,53,2.6
79.09,11.1,33.11,26.49,1.57,22.6,31.6,13.3,1013.2,57,2.3
81.59,11.11,31.96,25.89,2.05,23.4,32.2,14.8,1013.1,52,1.8
108.19,28.39,37.74,42.78,3.55,23.9,32.2,16,1011.8,50,2.3
86.2,17.65,38.66,34.69,2.56,23.6,32.6,16.5,1011.8,54,2.3
108.13,29.01,41.14,45.1,3.28,24.8,34.4,16.4,1010.8,49,2.6
122.91,17.21,39.28,34.66,2.62,25.9,35.6,17.1,1008.9,45,2.3
119.66,14.75,33.54,29.64,2.15,24.8,36.2,17,1007.1,47,2.7
92.26,11.38,31.92,26.09,1.71,25,34.1,17.2,1007.8,51,2.6
88.74,12.01,33.31,27.32,2.16,24,32.4,16.8,1009.1,52,2.4
87.08,11.49,31.61,26,1.65,24,31.2,17.5,1010.4,44,2.7
119.22,14.72,34.69,30.22,2.06,23.5,31.6,14.6,1012.1,44,2.6
164.15,22.12,43.9,41.04,5.35,24.6,34.4,15,1012.9,44,2.3
106.19,12.84,25.52,23.85,2.31,26.1,35,16.5,1009.2,45,2.6
78.8,11.86,24.39,22.47,1.5,26.1,35,21,1007.8,53,2.6
107.97,12.26,29.77,25.64,1.92,24.8,33.2,18.5,1008.6,56,1.9
119.73,11.75,28.94,24.79,2.38,24.1,31.1,18,1010.5,54,1.8
104.91,12.27,30.28,25.93,2.87,25.4,31.6,18.3,1012.5,49,2.6
126.34,22.27,33.99,35.9,3.54,25.7,32.3,18.5,1013.6,49,1.9
157.75,49.19,39.36,60.28,5.45,26.3,33.6,19.5,1011,44,2.6
